route_id,aadt,year_recorded,slat,slon,elat,elon
138-E,1300,2023,-72.03642271,41.61524049,-72.03150859,41.61401785
138-E,5700,2023,-72.01795417,41.60431308,-72.01808266,41.60474034
138-E,9600,2023,-71.94103774,41.58456279,-71.93396419,41.58498301
138-E,1500,2023,-71.81542209,41.56174257,-71.79115881,41.55306299
1400032,800,2023,-73.09797345,41.6811384,-73.12553646,41.66480585
1400083,500,2023,-73.10511476,41.68794914,-73.08668413,41.67368924
1410163,2000,2023,-71.85602326,42.00826816,-71.87057448,42.00860268
1420085,1000,2023,-72.37004736,41.87342116,-72.36872636,41.87162121
1460080,1200,2023,-72.44952347,41.86698455,-72.4497157,41.87001961
1460141,5500,2023,-72.49757633,41.82541925,-72.50463213,41.82466206
1510190,9500,2023,-73.03415451,41.55583297,-73.03383181,41.55952146
1510273,450,2023,-73.03010986,41.56034532,-73.02859914,41.55805893
1510295,7900,2023,-73.06136104,41.570176,-73.05423153,41.57852153
1510299,4700,2023,-73.03111627,41.56404274,-73.02561165,41.56139846
1510303,11700,2023,-73.00990479,41.5440433,-73.00455432,41.54402398
1510463,9500,2023,-73.03026855,41.55181964,-73.0349099,41.55189316
1510528,9200,2023,-73.05323608,41.58127207,-73.05423153,41.57852153
1510621,8400,2023,-73.02476226,41.5611831,-73.00951962,41.56401618
1510666,1400,2023,-73.01739855,41.57619919,-73.01770868,41.57536468
1510778,5800,2023,-73.06904424,41.54644542,-73.06227904,41.51911807
1510785,5800,2023,-73.06473976,41.55169968,-73.06955307,41.5521098
1510808,8300,2023,-73.03579419,41.53789819,-73.03405493,41.53534171
1510948,5100,2023,-73.03693328,41.55475359,-73.03760308,41.55231338
1510951,5400,2023,-73.04383357,41.54003744,-73.04418495,41.54407277
1511047,350,2023,-73.03548599,41.53407155,-73.03667204,41.53427135
1511061,6700,2023,-73.03415451,41.55583297,-73.02614295,41.56146146
1511070,7100,2023,-73.03746299,41.54393503,-73.02639608,41.54626419
1511116,1900,2023,-73.04863069,41.56951428,-73.04861516,41.57745307
1511245,11800,2023,-73.04349998,41.5475447,-73.04427913,41.54598714
1511246,1900,2023,-73.04565054,41.54486094,-73.04518257,41.54449623
1511248,5000,2023,-73.05479089,41.55395251,-73.05351075,41.55237345
1511292,5200,2023,-73.03610815,41.55703084,-73.03871553,41.55820821
1520060,1500,2023,-72.13616734,41.37190004,-72.1448362,41.38742628
1520086,1800,2023,-72.14848604,41.34913795,-72.13896959,41.35543409
1520188,2400,2023,-72.17468613,41.35906457,-72.17317904,41.32574938
1520194,9300,2023,-72.12223745,41.3708987,-72.12474199,41.37149658
1520203,200,2023,-72.10958563,41.41553307,-72.1090407,41.4078801
1520203,2700,2023,-72.1123163,41.40358081,-72.10930356,41.39551659
1520290,5100,2023,-72.12474199,41.37149658,-72.16982331,41.41860861
1520324,100,2023,-72.11448198,41.31764441,-72.11378911,41.3184165
1520347,150,2023,-72.14589727,41.32492648,-72.14495866,41.32764084
1530124,1700,2023,-73.1504279,41.58059343,-73.14526176,41.5848755
1530247,250,2023,-73.09092938,41.58182171,-73.08876403,41.57811858
1530286,40,2023,-73.07888636,41.59293772,-73.07735816,41.59285339
1530373,4100,2023,-73.07761135,41.58743434,-73.07677741,41.5942181
801-E,16100,2023,-73.00104716,41.54246227,-72.99600355,41.54181798
801-E,11600,2023,-72.97385463,41.54322917,-72.96921716,41.54258362
809-N,6100,2023,-73.42088336,41.11798584,-73.42379809,41.12153877
809-N,5600,2023,-73.42379809,41.12153877,-73.42962656,41.12629752
82-E,5000,2023,-72.20146936,41.50211288,-72.16490599,41.50581801
82-E,9500,2023,-72.08502468,41.52344311,-72.08282527,41.52352009
827-N,1200,2023,-73.47082646,41.67954672,-73.47261968,41.71685706
83-N,13900,2023,-72.50410277,41.81669047,-72.50298292,41.81764523
83-N,14300,2023,-72.46754621,41.86756812,-72.46662903,41.86778265
83-N,4200,2023,-72.44967105,41.94628406,-72.44231389,41.96303676
83-N,9500,2023,-72.44753435,41.98550099,-72.44726344,41.98555172
695-E,2900,2023,-71.87201879,41.76329169,-71.87101418,41.76477212
695-W,3000,2023,-71.86008231,41.77089598,-71.79618873,41.79327665
7-N,14200,2023,-73.42599026,41.10544272,-73.42023914,41.10600027
95-S,30000,2023,-72.36133027,41.31476174,-72.35618567,41.31761603
95-S,30100,2023,-72.15258487,41.36811204,-72.13685428,41.37014978
95-S,36000,2023,-72.13098534,41.37087832,-72.12661462,41.37140708
95-S,28300,2023,-72.12661462,41.37140708,-72.10340826,41.36500778
95-S,55800,2023,-72.09988015,41.36430107,-72.07866646,41.3647336
95-S,33700,2023,-72.02155828,41.36346237,-71.98184603,41.37189168
95-S,21100,2023,-71.90354842,41.37970782,-71.89978996,41.38128188
95-S-100,11000,2023,-73.15937217,41.17537425,-73.16234342,41.17501445
95-S-107,5700,2023,-73.13842633,41.18510189,-73.14065803,41.183896
95-S-113,8500,2023,-73.12101611,41.19746107,-73.12387682,41.19619767
95-S-14,7200,2023,-73.57865652,41.04134951,-73.58138332,41.04039473
95-S-16,7000,2023,-73.57627254,41.04165018,-73.57801465,41.04141257
95-S-194,1400,2023,-72.62298742,41.28837544,-72.62630902,41.28898128
95-S-2,5300,2023,-73.65112641,41.00325477,-73.65207771,41.00152387
7-N,14200,2023,-73.42023914,41.10600027,-73.41907352,41.10873951
7-N,46100,2023,-73.42851705,41.13162171,-73.42984383,41.13696101
7-N,22300,2023,-73.42851705,41.13162171,-73.42984383,41.13696101
7-N,35100,2023,-73.4316481,41.14427539,-73.43177542,41.14509423
7-N,15400,2023,-73.4316481,41.14427539,-73.43177542,41.14509423
7-N,19900,2023,-73.42686062,41.15549197,-73.42559435,41.15545109
7-N,15700,2023,-73.41905519,41.16005886,-73.41896362,41.16056195
7-N,15700,2023,-73.41902556,41.16165702,-73.41896124,41.16271308
7-N,23100,2023,-73.41877698,41.16360024,-73.41821451,41.16471435
7-N,22100,2023,-73.41638623,41.16843319,-73.41623514,41.16946968
7-N,22400,2023,-73.41631798,41.17020374,-73.41660715,41.17407102
7-N,22400,2023,-73.41614194,41.17887923,-73.41616521,41.18100672
7-N,15700,2023,-73.41614194,41.17887923,-73.41616521,41.18100672
7-N,15700,2023,-73.41608574,41.1815588,-73.41698301,41.18212145
7-N,25000,2023,-73.4187027,41.18351329,-73.41944444,41.18412171
7-N,15700,2023,-73.41944444,41.18412171,-73.42041415,41.18490763
95-S-203,3000,2023,-72.56598505,41.29034498,-72.57065751,41.29145763
95-S-213,3300,2023,-72.44304751,41.29235561,-72.4459778,41.29193155
95-S-241,2000,2023,-72.20450967,41.36856528,-72.20453583,41.36696958
